okrug,raion,price,living_complex,title,rooms,metro_time,info_total_area,info_living_area,info_kitchen_area,info_floor,info_total_floors,info_year_built,rent_price_per_month,rent_jkh,rent_deposit,rent_commissions,rent_prepayment,rent_term,rent_living_conditions
ЮАО,р-н Чертаново Южное,63000,,"Сдается 2-комн. квартира, 47 м²",2,10.0,47.0,35.0,6.5,6,12,1972.0,63000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Внуковское поселение,63000,ЖК «Рассказово»,"Сдается 1-комн. квартира, 42 м²",1,6.0,42.0,19.0,12.0,4,9,2017.0,63000,включена (счётчики включены),63 000 ₽,нет,1 месяц,от года,можно с детьми
ЮАО,р-н Чертаново Северное,63000,,"Сдается 1-комн. квартира, 32,7 м²",1,5.0,32.7,18.0,7.0,2,12,1973.0,63000,включена (без счётчиков),64 000 ₽,нет,1 месяц,от года,можно с детьми
СЗАО,р-н Митино,63000,ЖК «Мир Митино»,"Сдается 1-комн. квартира, 40 м²",1,6.0,40.0,35.0,,22,25,2019.0,63000,включена (без счётчиков),60 000 ₽,нет,2 месяца,от года,
ВАО,р-н Сокольники,63000,,"Сдается 1-комн. квартира, 38 м²",1,11.0,38.0,20.0,8.0,4,6,1962.0,63000,включена (без счётчиков),63 000 ₽,нет,1 месяц,от года,
ВАО,р-н Соколиная гора,63000,ЖК «Измайловский Парк (Апартаменты бизнес-класса)»,"Сдается апартаменты-студия, 25 м²",студия,6.0,25.0,19.0,,10,24,,63000,включена (счётчики включены),нет,нет,1 месяц,несколько месяцев,
ЮАО,р-н Царицыно,64000,,"Сдается 2-комн. квартира, 44 м²",2,5.0,44.0,,,2,5,,64000,включена (без счётчиков),64 000 ₽,нет,1 месяц,от года,
ВАО,р-н Преображенское,64000,,"Сдается 2-комн. квартира, 40 м²",2,12.0,40.0,25.0,7.5,10,12,1967.0,64000,включена (счётчики включены),64 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
ЮЗАО,р-н Северное Бутово,63000,,"Сдается 1-комн. квартира, 40 м²",1,5.0,40.0,,12.0,24,24,2005.0,63000,включена (без счётчиков),нет,нет,1 месяц,от года,можно с детьми и животными
ЗАО,р-н Проспект Вернадского,63000,,"Сдается апартаменты-студия, 18,5 м²",студия,10.0,18.5,,,6,10,,63000,включена (без счётчиков),50 000 ₽,нет,1 месяц,несколько месяцев,
ЮВАО,р-н Текстильщики,63000,ЖК «Волжский парк»,"Сдается студия, 20 м²",студия,3.0,20.0,,,10,21,2022.0,63000,включена (счётчики включены),63 000 ₽,нет,1 месяц,от года,
ВАО,р-н Метрогородок,63000,,"Сдается 2-комн. квартира, 41 м²",2,7.0,41.0,25.0,6.5,2,5,1960.0,63000,включена (без счётчиков),66 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Чертаново Центральное,63000,,"Сдается 1-комн. квартира, 45 м²",1,4.0,45.0,19.0,7.0,3,9,1972.0,63000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Нагатино-Садовники,63000,ЖК «Level Нагатинская (Левел Нагатинская)»,"Сдается студия, 21 м²",студия,6.0,21.0,21.0,,8,26,2024.0,63000,включена (счётчики включены),63 000 ₽,нет,1 месяц,от года,
ВАО,р-н Богородское,63000,ЖК «Талисман на Рокоссовского»,"Сдается студия, 25 м²",студия,5.0,25.0,19.0,6.0,6,29,2023.0,63000,включена (без счётчиков),63 000 ₽,нет,1 месяц,от года,
ВАО,р-н Северное Измайлово,63000,,"Сдается 2-комн. квартира, 44,3 м²",2,5.0,44.3,27.7,5.0,5,5,1959.0,63000,включена (без счётчиков),63 000 ₽,нет,1 месяц,от года,
САО,р-н Аэропорт,63000,,"Сдается апартаменты-студия, 16,2 м²",студия,4.0,16.2,16.2,,4,5,,63000,включена (без счётчиков),30 000 ₽,нет,1 месяц,от года,можно с животными
ЮВАО,р-н Нижегородский,63000,ЖК «Перовское 2»,"Сдается студия, 19,8 м²",студия,12.0,19.8,,,6,26,2024.0,63000,включена (без счётчиков),63 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Очаково-Матвеевское,63000,ЖК «Мичуринский парк»,"Сдается студия, 24,1 м²",студия,4.0,24.1,24.1,,25,32,2023.0,63000,включена (без счётчиков),нет,нет,1 месяц,от года,
ЗАО,р-н Очаково-Матвеевское,63000,ЖК «Новое Очаково»,"Сдается 1-комн. квартира, 31,8 м²",1,6.0,31.8,9.3,15.9,16,33,,63000,включена (без счётчиков),63 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Нижегородский,62500,ЖК «Перовское 2»,"Сдается студия, 25,4 м²",студия,12.0,25.4,12.0,6.0,25,33,2024.0,62500,включена (без счётчиков),30 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Раменки,62000,,"Сдается 1-комн. квартира, 38 м²",1,7.0,38.0,17.0,10.0,13,25,1975.0,62000,включена (счётчики включены),5 000 ₽,нет,2 месяца,от года,можно с детьми
ЗАО,р-н Очаково-Матвеевское,64000,ЖК «Большая Очаковская 2»,"Сдается студия, 22 м²",студия,7.0,22.0,10.0,4.0,33,33,,64000,включена (без счётчиков),64 000 ₽,нет,1 месяц,от года,
СВАО,р-н Марфино,64900,,"Сдается апартаменты-студия, 20 м²",студия,2.0,20.0,18.0,2.0,6,6,,64900,включена (без счётчиков),нет,нет,2 месяца,от года,можно с детьми
ЮАО,р-н Чертаново Южное,64999,ЖК «Аннино парк»,"Сдается 1-комн. квартира, 41 м²",1,6.0,41.0,13.0,20.0,13,25,,64999,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Обручевский,64500,,"Сдается 1-комн. квартира, 37 м²",1,11.0,37.0,20.0,8.0,7,16,1978.0,64500,включена (без счётчиков),129 000 ₽,нет,2 месяца,от года,можно с детьми и животными
ЮЗАО,р-н Теплый Стан,65000,,"Сдается 2-комн. квартира, 44,3 м²",2,9.0,44.3,27.0,5.0,4,9,1972.0,65000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Гольяново,65000,ЖК «Level Амурская (Левел Амурская)»,"Сдается студия, 20 м²",студия,5.0,20.0,,,22,27,,65000,включена (счётчики включены),30 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
НАО (Новомосковский),Внуковское поселение,65000,ЖК «Солнцево парк»,"Сдается 2-комн. квартира, 45 м²",2,7.0,45.0,28.0,12.0,2,16,2018.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Выхино-Жулебино,65000,,"Сдается 2-комн. квартира, 45 м²",2,7.0,45.0,30.0,7.0,9,9,1975.0,65000,включена (без счётчиков),нет,нет,1 месяц,несколько месяцев,можно с детьми и животными
ЮВАО,р-н Рязанский,65000,ЖК «Михайловский парк»,"Сдается студия, 33 м²",студия,10.0,33.0,,,31,33,2023.0,65000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
САО,р-н Головинский,65000,ЖК «Кронштадтский 14»,"Сдается студия, 25,7 м²",студия,4.0,25.7,,16.0,31,33,,65000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ВАО,р-н Соколиная гора,65000,ЖК «Измайловский Парк (Апартаменты бизнес-класса)»,"Сдается апартаменты-студия, 25 м²",студия,6.0,25.0,19.0,6.0,14,24,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,несколько месяцев,
ЦАО,р-н Таганский,65000,,"Сдается апартаменты-студия, 25 м²",студия,7.0,25.0,15.0,5.0,4,8,2021.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮВАО,р-н Люблино,65000,,"Сдается 2-комн. квартира, 42 м²",2,16.0,42.0,26.0,5.5,2,5,1963.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
СВАО,р-н Свиблово,65000,ЖК «Silver (Сильвер)»,"Сдается 1-комн. квартира, 22 м²",1,5.0,22.0,,,39,52,2019.0,65000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),бул. Скандинавский,65000,ЖК «Скандинавия»,"Сдается 1-комн. квартира, 40 м²",1,5.0,40.0,25.0,,7,8,2020.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ВАО,р-н Соколиная гора,65000,ЖК «Семеновский парк»,"Сдается 1-комн. квартира, 36 м²",1,14.0,36.0,20.0,10.0,7,22,2020.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Лефортово,65000,ЖК «Золоторожский»,"Сдается апартаменты-студия, 32 м²",студия,9.0,32.0,26.0,3.0,7,10,2017.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Хорошево-Мневники,65000,,"Сдается 2-комн. квартира, 57 м²",2,23.0,57.0,35.0,10.0,2,23,,65000,включена (без счётчиков),40 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
САО,р-н Бескудниковский,65000,,"Сдается 2-комн. квартира, 63 м²",2,4.0,63.0,34.0,13.0,9,14,2008.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Преображенское,65000,,"Сдается 1-комн. квартира, 40 м²",1,4.0,40.0,19.0,10.0,9,14,1977.0,65000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,можно с детьми
СВАО,р-н Свиблово,64500,ЖК «Afi Tower (Афи Тауэр)»,"Сдается студия, 23 м²",студия,6.0,23.0,16.0,6.0,11,53,2024.0,64500,включена (без счётчиков),69 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Северное Тушино,64999,,"Сдается 1-комн. квартира, 50 м²",1,4.0,50.0,22.0,10.0,12,25,2004.0,64999,включена (без счётчиков),64 999 ₽,нет,1 месяц,от года,
ЮВАО,р-н Нижегородский,64999,ЖК «Profit (Профит)»,"Сдается студия, 27 м²",студия,12.0,27.0,,,11,28,2023.0,64999,включена (без счётчиков),50 000 ₽,нет,1 месяц,несколько месяцев,
НАО (Новомосковский),Сосенское поселение,64900,ЖК «Бунинские луга»,"Сдается 1-комн. квартира, 34,5 м²",1,4.0,34.5,18.0,14.0,15,17,2023.0,64900,включена (без счётчиков),64 900 ₽,нет,1 месяц,от года,
СЗАО,р-н Хорошево-Мневники,64000,,"Сдается 1-комн. квартира, 31 м²",1,5.0,31.0,18.0,6.0,9,9,1966.0,64000,включена (счётчики включены),нет,нет,1 месяц,от года,
СЗАО,р-н Щукино,65000,ЖК «Волоколамское 24»,"Сдается апартаменты-студия, 27 м²",студия,8.0,27.0,,,18,28,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
СВАО,р-н Северное Медведково,65000,,"Сдается 2-комн. квартира, 51 м²",2,5.0,51.0,,9.5,3,17,,65000,включена (без счётчиков),30 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
ЮАО,р-н Чертаново Южное,65000,ЖК «Лесопарковый»,"Сдается 1-комн. квартира, 40 м²",1,4.0,40.0,25.0,10.0,16,23,2020.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми и животными
НАО (Новомосковский),Щербинка,65000,,"Сдается 2-комн. квартира, 67 м²",2,9.0,67.0,,20.0,5,16,2004.0,65000,включена (счётчики включены),57 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),Коммунарка поселок,65000,,"Сдается 1-комн. квартира, 45 м²",1,5.0,45.0,,,7,13,2012.0,65000,включена (счётчики включены),55 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЦАО,р-н Таганский,65000,,"Сдается апартаменты-студия, 27 м²",студия,8.0,27.0,19.0,5.0,1,8,,65000,включена (без счётчиков),нет,нет,1 месяц,от года,можно с детьми
ЮЗАО,р-н Зюзино,65000,,"Сдается 1-комн. квартира, 32 м²",1,4.0,32.0,20.0,5.0,3,5,1964.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,несколько месяцев,
СВАО,р-н Бабушкинский,65000,ЖК «Кольская 8»,"Сдается студия, 23,2 м²",студия,9.0,23.2,,,14,25,2022.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Покровское-Стрешнево,65000,ЖК «Holland park (Холланд парк)»,"Сдается студия, 30 м²",студия,8.0,30.0,25.0,,21,25,2024.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Крылатское,65000,,"Сдается 1-комн. квартира, 39 м²",1,8.0,39.0,28.0,9.0,17,17,1986.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЮЗАО,р-н Коньково,65000,,"Сдается 2-комн. квартира, 58 м²",2,12.0,58.0,32.0,7.0,10,12,1971.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЮАО,р-н Чертаново Центральное,65000,,"Сдаются 2-комн. апартаменты, 40,6 м²",2,6.0,40.6,40.6,,1,24,2017.0,65000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Текстильщики,65000,,"Сдается 1-комн. квартира, 35 м²",1,11.0,35.0,20.0,6.0,8,12,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮВАО,р-н Текстильщики,65000,,"Сдается 1-комн. квартира, 39,2 м²",1,8.0,39.2,,10.0,12,14,1999.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Метрогородок,65000,ЖК «Открытый парк»,"Сдается 2-комн. квартира, 35 м²",2,24.0,35.0,,10.0,7,32,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЦАО,р-н Басманный,65000,,"Сдается 1-комн. квартира, 34,1 м²",1,5.0,34.1,19.0,10.0,9,16,1986.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,можно с детьми и животными
СВАО,р-н Лианозово,65000,,"Сдается 1-комн. квартира, 39 м²",1,4.0,39.0,20.0,9.0,5,16,1980.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ВАО,р-н Перово,65500,,"Сдается 1-комн. квартира, 40 м²",1,2.0,40.0,20.0,10.0,12,17,,65500,включена (без счётчиков),65 500 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Котловка,65000,,"Сдается апартаменты-студия, 26 м²",студия,12.0,26.0,16.0,7.0,5,5,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,несколько месяцев,можно с животными
СВАО,р-н Лосиноостровский,65000,,"Сдается 3-комн. квартира, 56,6 м²",3,5.0,56.6,40.0,5.0,1,9,1972.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Богородское,65000,,"Сдается 1-комн. квартира, 42 м²",1,7.0,42.0,24.0,12.0,11,16,1996.0,65000,включена (счётчики включены),нет,нет,1 месяц,от года,
ВАО,р-н Преображенское,65000,,"Сдается 2-комн. квартира, 45 м²",2,3.0,45.0,32.0,7.0,3,5,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Сосенское поселение,65000,ЖК «Москвичка»,"Сдается 2-комн. квартира, 37 м²",2,11.0,37.0,,12.0,7,15,2020.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Восточное Дегунино,65000,,"Сдается 2-комн. квартира, 55 м²",2,11.0,55.0,33.0,9.5,9,17,1992.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
СЗАО,р-н Строгино,65000,,"Сдается 2-комн. квартира, 54 м²",2,18.0,54.0,,,11,16,1982.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ВАО,р-н Соколиная гора,65000,,"Сдается 1-комн. квартира, 51 м²",1,6.0,51.0,20.0,15.0,9,17,2010.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
САО,р-н Западное Дегунино,65000,ЖК «Тринити-2»,"Сдается 1-комн. квартира, 27,7 м²",1,6.0,27.7,,,19,33,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,несколько месяцев,
ЮВАО,р-н Люблино,65000,ЖК «Расцветай в Люблино»,"Сдается студия, 27 м²",студия,15.0,27.0,19.0,5.0,5,14,2022.0,65000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Академический,65000,,"Сдается апартаменты-студия, 19,5 м²",студия,7.0,19.5,15.0,3.0,1,5,1955.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
СВАО,р-н Марфино,65000,ЖК «Апартаменты Алтай»,"Сдаются 1-комн. апартаменты, 36 м²",1,7.0,36.0,15.0,6.0,1,5,2019.0,65000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Очаково-Матвеевское,65000,,"Сдается 1-комн. квартира, 39,8 м²",1,16.0,39.8,18.9,7.1,8,17,,65000,включена (без счётчиков),50 000 ₽,нет,1 месяц,несколько месяцев,
САО,р-н Западное Дегунино,65000,,"Сдается 1-комн. квартира, 37,9 м²",1,6.0,37.9,,10.0,16,17,2013.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЮЗАО,р-н Зюзино,65000,ЖК «Нахимово»,"Сдается 1-комн. квартира, 39 м²",1,12.0,39.0,,,8,17,2011.0,65000,включена (без счётчиков),52 000 ₽,нет,2 месяца,от года,можно с детьми и животными
ЗелАО,р-н Силино,65000,,"Сдается 3-комн. квартира, 63,5 м²",3,13.0,63.5,50.0,9.0,7,14,1989.0,65000,включена (счётчики включены),60 000 ₽,нет,1 месяц,от года,можно с детьми
ЮАО,р-н Даниловский,65000,,"Сдается 1-комн. квартира, 32 м²",1,17.0,32.0,20.0,8.0,4,5,1900.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Рязанский,65000,ЖК «Михайловский парк»,"Сдается 1-комн. квартира, 42 м²",1,8.0,42.0,20.0,10.0,28,33,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
СЗАО,р-н Северное Тушино,65000,,"Сдается 1-комн. квартира, 40 м²",1,7.0,40.0,18.0,9.0,13,17,1970.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,можно с детьми
СВАО,р-н Бибирево,65000,,"Сдается 3-комн. квартира, 59,5 м²",3,6.0,59.5,39.0,8.5,7,9,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЮАО,р-н Бирюлево Восточное,65000,ЖК «Царицыно-2»,"Сдается 1-комн. квартира, 38 м²",1,6.0,38.0,16.0,13.0,16,20,2023.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Молжаниновский,65000,ЖК «1-й Ленинградский»,"Сдается 2-комн. квартира, 59,5 м²",2,7.0,59.5,29.7,12.2,6,15,2023.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЮЗАО,р-н Черемушки,65000,,"Сдается 1-комн. квартира, 38 м²",1,6.0,38.0,25.0,10.0,6,12,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЦАО,р-н Таганский,65000,,"Сдается апартаменты-студия, 26,5 м²",студия,7.0,26.5,,,3,8,2021.0,65000,включена (без счётчиков),50 000 ₽,нет,1 месяц,несколько месяцев,
ЗАО,р-н Кунцево,65000,ЖК «Мякинино парк»,"Сдается 2-комн. квартира, 52 м²",2,10.0,52.0,40.0,10.0,15,25,2022.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Марьино,65000,ЖК «Тополя»,"Сдается 1-комн. квартира, 38 м²",1,5.0,38.0,18.0,10.0,19,21,2021.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Солнцево,65000,ЖК «Лучи»,"Сдается 1-комн. квартира, 38 м²",1,7.0,38.0,,,7,20,2017.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Очаково-Матвеевское,65000,ЖК «Матвеевский парк»,"Сдается студия, 20 м²",студия,4.0,20.0,,,31,33,2024.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Митино,65000,ЖК «Life-Митинская Ecopark»,"Сдается 1-комн. квартира, 42,4 м²",1,8.0,42.4,,,9,25,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ВАО,р-н Соколиная гора,65000,ЖК «Измайловский Парк (Апартаменты бизнес-класса)»,"Сдается апартаменты-студия, 19 м²",студия,6.0,19.0,,,3,24,,65000,включена (счётчики включены),нет,нет,1 месяц,несколько месяцев,
ЗАО,р-н Солнцево,65000,,"Сдается 3-комн. квартира, 52 м²",3,4.0,52.0,,6.5,5,9,1977.0,65000,включена (без счётчиков),нет,нет,1 месяц,от года,
ЮАО,р-н Бирюлево Восточное,65000,,"Сдается 2-комн. квартира, 52 м²",2,4.0,52.0,,,17,17,2004.0,65000,включена (счётчики включены),60 000 ₽,нет,1 месяц,несколько месяцев,
САО,р-н Головинский,65000,ЖК «Кронштадтский 9»,"Сдается студия, 29 м²",студия,4.0,29.0,16.0,4.0,20,21,,65000,включена (без счётчиков),40 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Кунцево,65000,,"Сдается 1-комн. квартира, 38,5 м²",1,9.0,38.5,20.6,8.5,11,12,1981.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Митино,65000,ЖК «Митинский лес»,"Сдается 1-комн. квартира, 32 м²",1,6.0,32.0,,,30,32,2024.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),просп. Нововатутинский,65000,"ЖК «Новые Ватутинки, мкр. Центральный»","Сдается 3-комн. квартира, 75 м²",3,15.0,75.0,,10.0,6,12,2013.0,65000,включена (без счётчиков),нет,нет,1 месяц,от года,можно с детьми
ЮАО,р-н Нагатинский затон,65000,,"Сдается 1-комн. квартира, 38,9 м²",1,10.0,38.9,20.7,8.6,3,12,1982.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Ломоносовский,65000,,"Сдается 1-комн. квартира, 35 м²",1,10.0,35.0,,,3,8,1960.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Филимонковское поселение,65000,,"Сдаются 3-комн. апартаменты, 66 м²",3,12.0,66.0,,,5,5,2021.0,65000,включена (без счётчиков),70 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Кунцево,65000,ЖК «Академика Павлова»,"Сдается студия, 25 м²",студия,5.0,25.0,23.0,,9,20,,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Нижегородский,65000,ЖК «Profit (Профит)»,"Сдается студия, 23 м²",студия,12.0,23.0,,,24,32,2023.0,65000,включена (без счётчиков),35 000 ₽,нет,1 месяц,от года,можно с детьми
НАО (Новомосковский),ул. Саларьевская,65000,ЖК «Саларьево парк»,"Сдается 1-комн. квартира, 39 м²",1,4.0,39.0,19.0,12.0,15,15,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Бескудниковский,65000,,"Сдается 1-комн. квартира, 38,1 м²",1,3.0,38.1,19.0,8.0,7,17,2008.0,65000,включена (счётчики включены),70 000 ₽,нет,1 месяц,от года,можно с детьми
ЮВАО,р-н Выхино-Жулебино,65000,,"Сдается 2-комн. квартира, 50,5 м²",2,9.0,50.5,30.5,8.0,14,14,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Выхино-Жулебино,65000,,"Сдается 2-комн. квартира, 40 м²",2,5.0,40.0,25.0,8.0,4,12,1968.0,65000,включена (счётчики включены),65 000 ₽,нет,2 месяца,от года,можно с детьми и животными
ЮВАО,р-н Нижегородский,65000,ЖК «Profit (Профит)»,"Сдается студия, 26 м²",студия,12.0,26.0,20.0,,7,32,2023.0,65000,включена (без счётчиков),40 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Западное Дегунино,65000,,"Сдается 2-комн. квартира, 60 м²",2,8.0,60.0,,,18,18,2007.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,можно с детьми и животными
САО,р-н Головинский,65000,,"Сдается 2-комн. квартира, 43 м²",2,12.0,43.0,30.0,5.5,4,5,1965.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ВАО,р-н Метрогородок,65000,ЖК «Сиреневый парк»,"Сдается студия, 27 м²",студия,6.0,27.0,12.0,5.0,9,25,2024.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЮАО,р-н Чертаново Южное,65000,,"Сдается 2-комн. квартира, 52,3 м²",2,8.0,52.3,30.9,8.5,8,16,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
СЗАО,р-н Хорошево-Мневники,65000,,"Сдается 1-комн. квартира, 31,9 м²",1,5.0,31.9,,6.0,3,9,1963.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми
ЮАО,р-н Царицыно,65000,,"Сдается 1-комн. квартира, 36,5 м²",1,13.0,36.5,20.0,10.0,2,12,1972.0,65000,включена (без счётчиков),75 000 ₽,нет,2 месяца,от года,
СВАО,р-н Северное Медведково,65000,,"Сдается 1-комн. квартира, 33,5 м²",1,2.0,33.5,19.0,7.0,5,9,1969.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Очаково-Матвеевское,65000,ЖК «Матвеевский парк»,"Сдается студия, 20 м²",студия,4.0,20.0,,,17,33,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
САО,р-н Хорошевский,65000,,"Сдается 1-комн. квартира, 38 м²",1,10.0,38.0,18.0,7.0,1,17,,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
ЮВАО,р-н Нижегородский,65000,ЖК «Перовское 2»,"Сдается студия, 23 м²",студия,12.0,23.0,17.0,3.0,4,33,2024.0,65000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
НАО (Новомосковский),Родниковая ул.,65000,ЖК «Румянцево-Парк»,"Сдается студия, 36 м²",студия,5.0,36.0,20.0,8.0,4,22,2021.0,65000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,можно с детьми и животными
НАО (Новомосковский),Сосенское поселение,65000,ЖК «Москвичка»,"Сдается 2-комн. квартира, 59 м²",2,11.0,59.0,47.0,10.0,8,15,2019.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми и животными
ЮАО,р-н Нагатино-Садовники,65000,,"Сдается 1-комн. квартира, 33,4 м²",1,6.0,33.4,19.3,6.7,5,9,1969.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮВАО,р-н Рязанский,65000,,"Сдается 2-комн. квартира, 56,3 м²",2,5.0,56.3,,,4,5,1957.0,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,несколько месяцев,
ЮВАО,р-н Южнопортовый,65000,ЖК «Метрополия»,"Сдается студия, 24,6 м²",студия,5.0,24.6,18.0,5.0,3,30,2024.0,65000,включена (счётчики включены),нет,нет,2 месяца,несколько месяцев,
САО,р-н Ховрино,65000,,"Сдается 2-комн. квартира, 53,5 м²",2,13.0,53.5,,,4,17,2002.0,65000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
