okrug,raion,price,living_complex,title,rooms,metro_time,info_total_area,info_living_area,info_kitchen_area,info_floor,info_total_floors,info_year_built,rent_price_per_month,rent_jkh,rent_deposit,rent_commissions,rent_prepayment,rent_term,rent_living_conditions
ЮАО,р-н Даниловский,60000,ЖК «Парк Легенд»,"Сдается 1-комн. квартира, 36,5 м²",1,4.0,36.5,17.0,9.0,5,24,2020.0,60000,включена (счётчики включены),60 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮЗАО,р-н Ясенево,75000,,"Сдается 2-комн. квартира, 54 м²",2,3.0,54.0,,9.0,12,16,1976.0,75000,включена (без счётчиков),75 000 ₽,нет,1 месяц,от года,
СВАО,р-н Ярославский,55000,,"Сдается 1-комн. квартира, 33 м²",1,9.0,33.0,,,6,12,1973.0,55000,включена (счётчики включены),55 000 ₽,нет,1 месяц,от года,можно с детьми
ЗАО,р-н Кунцево,68000,ЖК «Мякинино парк»,"Сдается 2-комн. квартира, 50,1 м²",2,10.0,50.1,,10.0,16,25,2021.0,68000,включена (без счётчиков),68 000 ₽,нет,1 месяц,от года,можно с детьми
СВАО,р-н Отрадное,42000,,"Сдается 1-комн. квартира, 36 м²",1,16.0,36.0,20.0,8.0,5,12,1978.0,42000,включена (без счётчиков),42 000 ₽,нет,1 месяц,от года,можно с детьми и животными
СВАО,р-н Северный,60000,ЖК «Мой адрес в Северном»,"Сдается 1-комн. квартира, 45,2 м²",1,9.0,45.2,22.1,11.3,3,14,,60000,включена (без счётчиков),60 000 ₽,нет,1 месяц,от года,
СВАО,р-н Останкинский,65000,ЖК «Апарт-комплекс Легендарный квартал»,"Сдается апартаменты-студия, 30 м²",студия,4.0,30.0,12.0,7.0,4,22,,65000,включена (счётчики включены),65 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Можайский,32000,,"Сдается студия, 14 м²",студия,6.0,14.0,12.0,2.0,1,12,1965.0,32000,включена (без счётчиков),28 000 ₽,нет,1 месяц,от года,
ЮЗАО,р-н Академический,145000,,"Сдается 3-комн. квартира, 104 м²",3,9.0,104.0,,14.0,3,25,2003.0,145000,включена (без счётчиков),140 000 ₽,нет,1 месяц,от года,можно с детьми и животными
САО,р-н Левобережный,45000,,"Сдается 1-комн. квартира, 28 м²",1,4.0,28.0,14.0,6.0,1,5,1960.0,45000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,
СЗАО,р-н Хорошево-Мневники,300000,ЖК «Дом Серебряный Бор»,"Сдается 3-комн. квартира, 93,8 м²",3,7.0,93.8,43.0,30.0,3,25,2019.0,300000,включена (без счётчиков),300 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
ЗАО,р-н Филевский парк,130000,ЖК «Западный порт»,"Сдается 2-комн. квартира, 37,6 м²",2,9.0,37.6,22.7,6.2,14,20,2022.0,130000,включена (без счётчиков),30 000 ₽,нет,2 месяца,от года,можно с детьми
ВАО,р-н Новогиреево,65000,,"Сдается 2-комн. квартира, 47,2 м²",2,16.0,47.2,32.0,9.0,7,12,1969.0,65000,включена (без счётчиков),65 000 ₽,нет,1 месяц,от года,
САО,р-н Хорошевский,105000,,"Сдается 2-комн. квартира, 56 м²",2,3.0,56.0,31.0,5.0,3,5,1959.0,105000,включена (без счётчиков),98 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮВАО,р-н Некрасовка,45000,ЖК «мой адрес На Вертолетчиков»,"Сдается 1-комн. квартира, 30 м²",1,5.0,30.0,,,18,18,2022.0,45000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,можно с животными
ЦАО,р-н Таганский,85000,,"Сдается 1-комн. квартира, 46,5 м²",1,7.0,46.5,26.0,10.0,3,10,1957.0,85000,включена (без счётчиков),85 000 ₽,нет,1 месяц,от года,
СВАО,р-н Марфино,80000,,"Сдается апартаменты-студия, 38 м²",студия,7.0,38.0,,,1,5,2019.0,80000,включена (без счётчиков),80 000 ₽,нет,1 месяц,от года,
ЗелАО,р-н Крюково,38000,ЖК «мой адрес В Зеленограде»,"Сдается 1-комн. квартира, 37 м²",1,12.0,37.0,16.0,10.0,10,20,2013.0,38000,включена (без счётчиков),38 000 ₽,нет,1 месяц,от года,
ЗАО,р-н Проспект Вернадского,170000,ЖК «Квартал на Ленинском»,"Сдается 3-комн. квартира, 128 м²",3,12.0,128.0,80.0,15.0,3,13,,170000,включена (без счётчиков),170 000 ₽,нет,1 месяц,несколько месяцев,можно с детьми
САО,р-н Головинский,40000,,"Сдается студия, 20 м²",студия,5.0,20.0,14.0,4.0,5,5,1969.0,40000,включена (без счётчиков),40 000 ₽,нет,1 месяц,несколько месяцев,
ЮВАО,р-н Нижегородский,130000,ЖК «Перовское 2»,"Сдается 4-комн. квартира, 78 м²",4,13.0,78.0,37.0,25.0,13,33,2022.0,130000,включена (без счётчиков),1 ₽,нет,1 месяц,несколько месяцев,можно с детьми
САО,р-н Дмитровский,65000,ЖК «Дмитровский парк»,"Сдается студия, 25,1 м²",студия,22.0,25.1,,,23,33,2023.0,65000,включена (без счётчиков),50 000 ₽,нет,1 месяц,от года,можно с детьми и животными
ЮАО,р-н Царицыно,44999,,"Сдается 2-комн. квартира, 45 м²",2,14.0,45.0,30.0,6.0,5,5,,44999,включена (без счётчиков),44 999 ₽,нет,1 месяц,от года,
СВАО,р-н Бутырский,200000,ЖК «Савеловский Сити»,"Сдается 2-комн. квартира, 63 м²",2,14.0,63.0,,,34,49,,200000,включена (без счётчиков),250 000 ₽,нет,1 месяц,от года,
САО,р-н Хорошевский,160000,ЖК «Дом на Беговой»,"Сдается 2-комн. квартира, 69,6 м²",2,3.0,69.6,,,21,37,2010.0,160000,включена (без счётчиков),160 000 ₽,нет,2 месяца,от года,
ЮАО,р-н Даниловский,47000,,"Сдается 2-комн. квартира, 44 м²",2,4.0,44.0,32.0,5.7,5,9,1961.0,47000,включена (счётчики включены),47 000 ₽,нет,1 месяц,от года,можно с детьми
САО,р-н Ховрино,57000,,"Сдается 1-комн. квартира, 32 м²",1,8.0,32.0,18.0,7.0,9,9,1968.0,57000,включена (без счётчиков),30 000 ₽,нет,1 месяц,несколько месяцев,
