price,metro_time,info_total_area,floor_ratio,firt_floor,last_floor,rooms_1,rooms_2,rooms_3,rooms_4,rooms_студия,rent_jkh_включена (без счётчиков),rent_jkh_включена (счётчики включены),rent_prepayment_1 месяц,rent_prepayment_2 месяца,rent_prepayment_3 месяца,rent_term_несколько месяцев,rent_term_от года,rent_living_conditions_можно с детьми,rent_living_conditions_можно с детьми и животными,rent_living_conditions_можно с животными,"rent_living_conditions_ни с детьми, ни с животными",year_built_interval_1890-1917,year_built_interval_1917-1945,year_built_interval_1945-1970,year_built_interval_1970-1990,year_built_interval_1991-2025,year_built_interval_не попал,log_distance
45000,4.0,28.0,0.2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2.727189694427213
300000,7.0,93.8,0.12,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2.194882125758077
130000,9.0,37.6,0.7,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2.0685889550222756
65000,16.0,47.2,0.5833333333333334,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2.4698475539126803
105000,3.0,56.0,0.6,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1.8443399918835868
45000,5.0,30.0,1.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3.0032921729383393
85000,7.0,46.5,0.3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1.2444230135697425
80000,7.0,38.0,0.2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2.1415583267450655
38000,12.0,37.0,0.5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3.6286035291625303
170000,12.0,128.0,0.2307692307692307,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2.438463711524543
40000,5.0,20.0,1.0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2.5122968983492995
130000,13.0,78.0,0.3939393939393939,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.9198365766611254
65000,22.0,25.1,0.696969696969697,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2.7717350556307188
44999,14.0,45.0,1.0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2.687467857310322
200000,14.0,63.0,0.6938775510204082,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.892075069394007
160000,3.0,69.6,0.5675675675675675,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1.8443399918835868
47000,4.0,44.0,0.5555555555555556,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1.728763601836939
57000,8.0,32.0,1.0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2.7065702710299555
70000,4.0,37.6,0.3636363636363636,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2.8066961779577575
59990,5.0,26.0,0.8125,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2.5122968983492995
55000,3.0,36.0,0.5,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2.621004554995005
29000,12.0,12.0,0.5555555555555556,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3.5879786514101606
65000,6.0,38.5,0.5,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2.16477739068659
95000,4.0,42.0,0.2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.7765935573135265
97000,6.0,33.0,0.4285714285714285,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1.2916739684248684
120000,9.0,73.0,0.425,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2.350135808084658
145000,3.0,62.0,0.1891891891891892,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.8443399918835868
38000,11.0,24.0,0.3333333333333333,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3.4943802287783594
350000,12.0,133.0,0.631578947368421,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.728763601836939
48000,4.0,39.0,0.2941176470588235,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2.906735308923041
