district,area,price,rooms,metro_time,info_total_area,rent_jkh,rent_prepayment,rent_term,rent_living_conditions,floor_ratio,last_floor,year_built_interval
НАО (Новомосковский),Новомосковский административный округ,33990,студия,6.0,15.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.6666666666666666,0,не попал
ВАО,р-н Метрогородок,44000,1,7.0,30.6,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4,0,1945-1970
ЗАО,р-н Раменки,135000,1,4.0,53.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.9230769230769231,0,1991-2025
СЗАО,р-н Хорошево-Мневники,135000,2,17.0,53.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.06451612903225806,0,1991-2025
ЮВАО,р-н Лефортово,135000,2,9.0,58.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4666666666666667,0,1991-2025
ВАО,р-н Преображенское,70000,студия,4.0,27.0,включена (без счётчиков),1 месяц,несколько месяцев,можно с детьми,0.6,0,1991-2025
СЗАО,р-н Покровское-Стрешнево,85000,2,5.0,34.5,включена (без счётчиков),1 месяц,от года,можно с детьми,0.3181818181818182,0,не попал
ЮЗАО,р-н Черемушки,48000,1,4.0,33.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.6666666666666666,0,1945-1970
ЗАО,р-н Очаково-Матвеевское,96000,2,4.0,36.35,включена (без счётчиков),1 месяц,от года,можно с детьми,0.35294117647058826,0,не попал
СВАО,р-н Марфино,57000,студия,6.0,20.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.6,0,1945-1970
НАО (Новомосковский),Внуковское поселение,60000,1,6.0,44.9,включена (без счётчиков),1 месяц,от года,можно с детьми,0.4444444444444444,0,1991-2025
ЗАО,р-н Раменки,229000,3,8.0,64.6,включена (без счётчиков),1 месяц,от года,можно с детьми,0.21428571428571427,0,1991-2025
ЮАО,р-н Бирюлево Западное,40000,1,7.0,34.0,включена (счётчики включены),1 месяц,от года,"ни с детьми, ни с животными",0.5,0,1970-1990
ЮВАО,р-н Рязанский,60000,студия,4.0,30.0,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.7916666666666666,0,1991-2025
